created_at,entry_id,field1,field2
2017-09-17 18:06:21 UTC,13343,27.70,"69.50

"
2017-09-17 18:06:37 UTC,13344,27.60,"68.80

"
2017-09-17 18:06:52 UTC,13345,27.70,"69.00

"
2017-09-17 18:07:08 UTC,13346,27.70,"68.40

"
2017-09-17 18:07:23 UTC,13347,27.70,"68.80

"
2017-09-17 18:07:39 UTC,13348,27.70,"68.80

"
2017-09-17 18:07:54 UTC,13349,27.70,"69.50

"
2017-09-17 18:08:10 UTC,13350,27.70,"69.30

"
2017-09-17 18:08:26 UTC,13351,27.70,"69.90

"
2017-09-17 18:08:42 UTC,13352,27.70,"70.30

"
2017-09-17 18:08:57 UTC,13353,27.70,"69.50

"
2017-09-17 18:09:13 UTC,13354,27.70,"70.50

"
2017-09-17 18:09:28 UTC,13355,27.70,"68.80

"
2017-09-17 18:09:43 UTC,13356,27.70,"69.30

"
2017-09-17 18:09:59 UTC,13357,27.70,"69.10

"
2017-09-17 18:10:14 UTC,13358,27.70,"69.10

"
2017-09-17 18:10:29 UTC,13359,27.70,"68.80

"
2017-09-17 18:10:44 UTC,13360,27.70,"68.60

"
2017-09-17 18:11:00 UTC,13361,27.70,"71.10

"
2017-09-17 18:11:15 UTC,13362,27.70,"69.60

"
2017-09-17 18:11:30 UTC,13363,27.70,"69.00

"
2017-09-17 18:11:45 UTC,13364,27.70,"69.50

"
2017-09-17 18:12:01 UTC,13365,27.70,"69.60

"
2017-09-17 18:12:16 UTC,13366,27.70,"69.90

"
2017-09-17 18:12:31 UTC,13367,27.70,"70.10

"
2017-09-17 18:12:47 UTC,13368,27.70,"70.20

"
2017-09-17 18:13:03 UTC,13369,27.70,"69.10

"
2017-09-17 18:13:18 UTC,13370,27.70,"69.30

"
2017-09-17 18:13:33 UTC,13371,27.70,"69.00

"
2017-09-17 18:13:49 UTC,13372,27.70,"69.30

"
2017-09-17 18:14:05 UTC,13373,27.70,"70.00

"
2017-09-17 18:14:19 UTC,13374,27.70,"70.00

"
2017-09-17 18:14:34 UTC,13375,27.70,"68.40

"
2017-09-17 18:14:49 UTC,13376,27.70,"69.20

"
2017-09-17 18:15:06 UTC,13377,27.70,"70.90

"
2017-09-17 18:15:22 UTC,13378,27.70,"69.20

"
2017-09-17 18:15:37 UTC,13379,27.70,"70.70

"
2017-09-17 18:15:52 UTC,13380,27.70,"70.20

"
2017-09-17 18:16:08 UTC,13381,27.70,"69.60

"
2017-09-17 18:16:24 UTC,13382,27.70,"70.50

"
2017-09-17 18:16:40 UTC,13383,27.70,"69.90

"
2017-09-17 18:16:56 UTC,13384,27.80,"69.40

"
2017-09-17 18:17:12 UTC,13385,27.80,"69.30

"
2017-09-17 18:17:27 UTC,13386,27.80,"68.70

"
2017-09-17 18:17:43 UTC,13387,27.80,"69.30

"
2017-09-17 18:17:58 UTC,13388,27.80,"70.10

"
2017-09-17 18:18:14 UTC,13389,27.80,"70.50

"
2017-09-17 18:18:30 UTC,13390,27.80,"70.60

"
2017-09-17 18:18:46 UTC,13391,27.70,"69.80

"
2017-09-17 18:19:02 UTC,13392,27.80,"69.60

"
2017-09-17 18:19:18 UTC,13393,27.80,"70.70

"
2017-09-17 18:19:34 UTC,13394,27.70,"69.50

"
2017-09-17 18:19:49 UTC,13395,27.80,"70.20

"
2017-09-17 18:20:04 UTC,13396,27.70,"69.80

"
2017-09-17 18:20:19 UTC,13397,27.80,"71.10

"
2017-09-17 18:20:35 UTC,13398,27.70,"70.00

"
2017-09-17 18:20:50 UTC,13399,27.80,"69.50

"
2017-09-17 18:21:05 UTC,13400,27.80,"70.20

"
2017-09-17 18:21:21 UTC,13401,27.80,"70.00

"
2017-09-17 18:21:36 UTC,13402,27.80,"69.30

"
2017-09-17 18:21:51 UTC,13403,27.80,"68.60

"
2017-09-17 18:22:06 UTC,13404,27.80,"68.80

"
2017-09-17 18:22:21 UTC,13405,27.80,"69.50

"
2017-09-17 18:22:36 UTC,13406,27.80,"69.20

"
2017-09-17 18:22:51 UTC,13407,27.80,"68.30

"
2017-09-17 18:23:06 UTC,13408,27.80,"69.00

"
2017-09-17 18:23:21 UTC,13409,27.80,"70.00

"
2017-09-17 18:23:37 UTC,13410,27.80,"70.40

"
2017-09-17 18:23:52 UTC,13411,27.80,"70.80

"
2017-09-17 18:24:07 UTC,13412,27.80,"71.30

"
2017-09-17 18:24:23 UTC,13413,27.80,"71.10

"
2017-09-17 18:24:38 UTC,13414,27.80,"71.30

"
2017-09-17 18:24:54 UTC,13415,27.80,"69.70

"
2017-09-17 18:25:10 UTC,13416,27.80,"69.00

"
2017-09-17 18:25:26 UTC,13417,27.80,"69.00

"
2017-09-17 18:25:42 UTC,13418,27.80,"70.80

"
2017-09-17 18:25:58 UTC,13419,27.80,"70.30

"
2017-09-17 18:26:14 UTC,13420,27.80,"69.80

"
2017-09-17 18:26:29 UTC,13421,27.80,"69.50

"
2017-09-17 18:26:44 UTC,13422,27.80,"70.20

"
2017-09-17 18:27:00 UTC,13423,27.80,"68.90

"
2017-09-17 18:27:16 UTC,13424,27.90,"69.80

"
2017-09-17 18:27:31 UTC,13425,27.80,"70.00

"
2017-09-17 18:27:47 UTC,13426,27.90,"69.70

"
2017-09-17 18:28:03 UTC,13427,27.90,"69.60

"
2017-09-17 18:28:19 UTC,13428,27.90,"69.40

"
2017-09-17 18:28:36 UTC,13429,27.90,"68.90

"
2017-09-17 18:28:51 UTC,13430,27.90,"71.00

"
2017-09-17 18:29:07 UTC,13431,27.90,"70.90

"
2017-09-17 18:29:23 UTC,13432,27.90,"70.80

"
2017-09-17 18:29:39 UTC,13433,27.90,"69.90

"
2017-09-17 18:29:55 UTC,13434,27.80,"69.50

"
2017-09-17 18:30:10 UTC,13435,27.90,"69.50

"
2017-09-17 18:30:26 UTC,13436,27.80,"69.40

"
2017-09-17 18:30:42 UTC,13437,27.90,"70.60

"
2017-09-17 18:30:58 UTC,13438,27.90,"69.40

"
2017-09-17 18:31:15 UTC,13439,27.90,"70.60

"
2017-09-17 18:31:30 UTC,13440,27.90,"70.40

"
2017-09-17 18:31:46 UTC,13441,27.90,"70.20

"
2017-09-17 18:32:02 UTC,13442,27.90,"69.70

"


